,Name,Instrument Type,Currency,Contributor,RIC
0,UK Pound Sterling 10 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L10Y=
1,UK Pound Sterling 5 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L5Y=
2,UK Pound Sterling Overnight Index Swap,Curve,C:4,REFINITIV,GBPOIS=
3,UK Pound Sterling Interest Rate Swap,Tile,C:4,REFINITIV,GBPIRS
4,UK Pound Sterling MPC Meeting date Overnight Index Swap,Curve,C:4,Bgc Partners,MPCOIS=BGCP
5,UK Pound Sterling Base Rate vs Sonia Basis Swap,Curve,C:4,ICAP,GBPBRSONBS=ICAP
6,UK Pound Sterling Overnight Index Swap,Tile,C:4,REFINITIV,GBPOIS
7,UK Pound Sterling Sonia vs 1 Month Libor Basis Swap,Curve,C:4,Fenics Market Data,GBPSO1LBS=FMD
8,UK Pound Sterling Sonia vs 3 Month Libor Basis Swap,Curve,C:4,Fenics Market Data,GBPSO3LBS=FMD
9,UK Pound Sterling SONIA vs 6 Month Libor Basis Swap,Curve,C:4,Fenics Market Data,GBPSO6LBS=FMD
10,UK Pound Sterling Base Rate vs Sonia MPC Meeting Date Basis Swap,Curve,C:4,ICAP,GBBRSOMPC=ICAP
11,UK Pound Sterling Semi Bond 6 Month Libor Interest Rate Swap,Curve,C:4,REFINITIV,GBPSB6LIRS=
12,UK Pound Sterling Annual Money 3 Month Libor Interest Rate Swap,Curve,C:4,REFINITIV,GBPAM3LIRS=
13,UK Pound Sterling 1 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L1Y=
14,UK Pound Sterling/US Dollar SONIA vs SOFR Currency Basis Swap,Curve,C:4,REFINITIV,GBUSSOSRBS=
15,UK Pound Sterling SONIA ATM Cap/Floor,Tile,C:4,Tradition,GBPSOCAPATM=TRDL
16,UK Pound Sterling SONIA ATM Cap/Floor,Tile,C:4,Fenics Market Data,GBPSOCAPATM=FMD
17,UK Pound Sterling SONIA Cap/Floor,Tile,C:4,Tradition,GBPSOCAPV=TRDL
